stakeholder_ids,goal_ids,use_case_ids,requirement_id,architecture_element_ids,interface_schema_or_state_ids,adr_ids,task_id,test_id,evidence_artifact
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-007,ARC-JOURNAL;ARC-REPORT-JSON,ARC-JOURNAL;ARC-REPORT-JSON,ADR-001,TASK-0601,VT-FR-007,validation/evidence/VT-FR-007.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-007,ARC-JOURNAL;ARC-REPORT-JSON,ARC-JOURNAL;ARC-REPORT-JSON,ADR-001,TASK-0606,VT-FR-007,validation/evidence/VT-FR-007.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-008,ARC-COMPILER,ARC-COMPILER,,TASK-0108,VT-FR-008,validation/evidence/VT-FR-008.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-009,ARC-CONFIG;ARC-SCHED,ARC-CONFIG;ARC-SCHED,,TASK-0104,VT-FR-009,validation/evidence/VT-FR-009.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-009,ARC-CONFIG;ARC-SCHED,ARC-CONFIG;ARC-SCHED,,TASK-0303,VT-FR-009,validation/evidence/VT-FR-009.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-010,ARC-COMPILER;ARC-SIGN,ARC-COMPILER;ARC-SIGN,,TASK-0108,VT-FR-010,validation/evidence/VT-FR-010.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-010,ARC-COMPILER;ARC-SIGN,ARC-COMPILER;ARC-SIGN,,TASK-0401,VT-FR-010,validation/evidence/VT-FR-010.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-011,ARC-REPORT-JSON;ARC-REPORT-JUNIT;ARC-REPORT-HTML,ARC-REPORT-JSON;ARC-REPORT-JUNIT;ARC-REPORT-HTML,,TASK-0605,VT-FR-011,validation/evidence/VT-FR-011.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-012,ARC-MANIFEST,ARC-MANIFEST,,TASK-0109,VT-FR-012,validation/evidence/VT-FR-012.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-012,ARC-MANIFEST,ARC-MANIFEST,,TASK-0110,VT-FR-012,validation/evidence/VT-FR-012.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-001,ARC-CONFIG,IF-CONFIG,ADR-019,TASK-0104,VT-CFG-001,validation/evidence/VT-CFG-001.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-001,ARC-CONFIG,IF-CONFIG,ADR-019,TASK-0105,VT-CFG-001,validation/evidence/VT-CFG-001.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-002,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-002,validation/evidence/VT-CFG-002.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-003,ARC-CONFIG,IF-SCHEMA,,TASK-0104,VT-CFG-003,validation/evidence/VT-CFG-003.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-004,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-004,validation/evidence/VT-CFG-004.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-005,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-005,validation/evidence/VT-CFG-005.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-006,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-006,validation/evidence/VT-CFG-006.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-006,ARC-CONFIG,ARC-CONFIG,,TASK-0801,VT-CFG-006,validation/evidence/VT-CFG-006.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-007,ARC-SECRET,IF-CONFIG,,TASK-0106,VT-CFG-007,validation/evidence/VT-CFG-007.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-008,ARC-SECRET,ARC-SECRET,,TASK-0106,VT-CFG-008,validation/evidence/VT-CFG-008.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-009,ARC-SECRET,ARC-SECRET,,TASK-0106,VT-CFG-009,validation/evidence/VT-CFG-009.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-010,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-010,validation/evidence/VT-CFG-010.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-011,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-011,validation/evidence/VT-CFG-011.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-012,ARC-CONFIG,ARC-CONFIG,,TASK-0105,VT-CFG-012,validation/evidence/VT-CFG-012.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-012,ARC-CONFIG,ARC-CONFIG,,TASK-0801,VT-CFG-012,validation/evidence/VT-CFG-012.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-013,ARC-CONFIG;ARC-MANIFEST,ARC-CONFIG;ARC-MANIFEST,,TASK-0109,VT-CFG-013,validation/evidence/VT-CFG-013.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-014,ARC-CONFIG,ARC-CONFIG,,TASK-0104,VT-CFG-014,validation/evidence/VT-CFG-014.json
STAKE-001;STAKE-006,GOAL-001;GOAL-004,UC-001;UC-002;UC-003,CFG-014,ARC-CONFIG,ARC-CONFIG,,TASK-0801,VT-CFG-014,validation/evidence/VT-CFG-014.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-001,ARC-CLI,IF-CLI,ADR-016,TASK-0801,VT-CLI-001,validation/evidence/VT-CLI-001.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-002,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-002,validation/evidence/VT-CLI-002.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-003,ARC-CLI,ARC-CLI,,TASK-0109,VT-CLI-003,validation/evidence/VT-CLI-003.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-003,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-003,validation/evidence/VT-CLI-003.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-004,ARC-CLI,ARC-CLI,,TASK-0311,VT-CLI-004,validation/evidence/VT-CLI-004.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-004,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-004,validation/evidence/VT-CLI-004.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-005,ARC-CLI,ARC-CLI,,TASK-0207,VT-CLI-005,validation/evidence/VT-CLI-005.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-005,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-005,validation/evidence/VT-CLI-005.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-006,ARC-CLI,ARC-CLI,,TASK-0110,VT-CLI-006,validation/evidence/VT-CLI-006.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-006,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-006,validation/evidence/VT-CLI-006.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-007,ARC-CLI,ARC-CLI,,TASK-0606,VT-CLI-007,validation/evidence/VT-CLI-007.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-007,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-007,validation/evidence/VT-CLI-007.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-008,ARC-CLI,ARC-CLI,,TASK-0606,VT-CLI-008,validation/evidence/VT-CLI-008.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-008,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-008,validation/evidence/VT-CLI-008.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-009,ARC-CLI,IF-CLI,,TASK-0801,VT-CLI-009,validation/evidence/VT-CLI-009.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-010,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-010,validation/evidence/VT-CLI-010.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-011,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-011,validation/evidence/VT-CLI-011.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-012,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-012,validation/evidence/VT-CLI-012.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-013,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-013,validation/evidence/VT-CLI-013.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-014,ARC-CLI,ARC-CLI,,TASK-0002,VT-CLI-014,validation/evidence/VT-CLI-014.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-014,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-014,validation/evidence/VT-CLI-014.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-015,ARC-CLI,ARC-CLI,,TASK-0310,VT-CLI-015,validation/evidence/VT-CLI-015.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-015,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-015,validation/evidence/VT-CLI-015.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-016,ARC-CLI,ARC-CLI,,TASK-0602,VT-CLI-016,validation/evidence/VT-CLI-016.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-016,ARC-CLI,ARC-CLI,,TASK-0801,VT-CLI-016,validation/evidence/VT-CLI-016.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-017,ARC-TARGET;ARC-CLI,ARC-TARGET;ARC-CLI,,TASK-0307,VT-CLI-017,validation/evidence/VT-CLI-017.json
STAKE-001;STAKE-002,GOAL-005;GOAL-006,UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-012,CLI-017,ARC-TARGET;ARC-CLI,ARC-TARGET;ARC-CLI,,TASK-0801,VT-CLI-017,validation/evidence/VT-CLI-017.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-001,ARC-COMPILER,ARC-COMPILER,,TASK-0002,VT-API-001,validation/evidence/VT-API-001.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-001,ARC-COMPILER,ARC-COMPILER,,TASK-0102,VT-API-001,validation/evidence/VT-API-001.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-002,ARC-COMPILER,IF-SCHEMA,ADR-013;ADR-019,TASK-0002,VT-API-002,validation/evidence/VT-API-002.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-003,ARC-COMPILER,ARC-COMPILER,ADR-013,TASK-0001,VT-API-003,validation/evidence/VT-API-003.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-004,ARC-SIGN;ARC-OBS-CMD;ARC-OBS-HTTP,ARC-SIGN;ARC-OBS-CMD;ARC-OBS-HTTP,ADR-013;ADR-022,TASK-0401,VT-API-004,validation/evidence/VT-API-004.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-004,ARC-SIGN;ARC-OBS-CMD;ARC-OBS-HTTP,ARC-SIGN;ARC-OBS-CMD;ARC-OBS-HTTP,ADR-013;ADR-022,TASK-0501,VT-API-004,validation/evidence/VT-API-004.json
STAKE-006;STAKE-007,GOAL-006,UC-003;UC-004;UC-009;UC-010,API-005,ARC-COMPILER,ARC-COMPILER,,TASK-0810,VT-API-005,validation/evidence/VT-API-005.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-001,ARC-JOURNAL,IF-JOURNAL,ADR-004;ADR-007,TASK-0201,VT-DATA-001,validation/evidence/VT-DATA-001.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-001,ARC-JOURNAL,IF-JOURNAL,ADR-004;ADR-007,TASK-0311,VT-DATA-001,validation/evidence/VT-DATA-001.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-002,ARC-MANIFEST;ARC-JOURNAL,ARC-MANIFEST;ARC-JOURNAL,ADR-004;ADR-007,TASK-0101,VT-DATA-002,validation/evidence/VT-DATA-002.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-002,ARC-MANIFEST;ARC-JOURNAL,ARC-MANIFEST;ARC-JOURNAL,ADR-004;ADR-007,TASK-0109,VT-DATA-002,validation/evidence/VT-DATA-002.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-003,ARC-FIXTURE;ARC-MANIFEST,ARC-FIXTURE;ARC-MANIFEST,ADR-004;ADR-007,TASK-0107,VT-DATA-003,validation/evidence/VT-DATA-003.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-003,ARC-FIXTURE;ARC-MANIFEST,ARC-FIXTURE;ARC-MANIFEST,ADR-004;ADR-007,TASK-0109,VT-DATA-003,validation/evidence/VT-DATA-003.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-004,ARC-MANIFEST,ARC-MANIFEST,,TASK-0109,VT-DATA-004,validation/evidence/VT-DATA-004.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-004,ARC-MANIFEST,ARC-MANIFEST,,TASK-0110,VT-DATA-004,validation/evidence/VT-DATA-004.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-005,ARC-MANIFEST,ARC-MANIFEST,,TASK-0101,VT-DATA-005,validation/evidence/VT-DATA-005.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-005,ARC-MANIFEST,ARC-MANIFEST,,TASK-0109,VT-DATA-005,validation/evidence/VT-DATA-005.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-006,ARC-PRNG;ARC-MANIFEST,ARC-PRNG;ARC-MANIFEST,ADR-008,TASK-0101,VT-DATA-006,validation/evidence/VT-DATA-006.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-006,ARC-PRNG;ARC-MANIFEST,ARC-PRNG;ARC-MANIFEST,ADR-008,TASK-0103,VT-DATA-006,validation/evidence/VT-DATA-006.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-007,ARC-JOURNAL,ARC-JOURNAL,ADR-008,TASK-0003,VT-DATA-007,validation/evidence/VT-DATA-007.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-007,ARC-JOURNAL,ARC-JOURNAL,ADR-008,TASK-0601,VT-DATA-007,validation/evidence/VT-DATA-007.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-008,ARC-JOURNAL,ARC-JOURNAL,ADR-021,TASK-0202,VT-DATA-008,validation/evidence/VT-DATA-008.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-009,ARC-JOURNAL,ARC-JOURNAL,,TASK-0201,VT-DATA-009,validation/evidence/VT-DATA-009.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-009,ARC-JOURNAL,ARC-JOURNAL,,TASK-0203,VT-DATA-009,validation/evidence/VT-DATA-009.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-010,ARC-JOURNAL,ARC-JOURNAL,,TASK-0203,VT-DATA-010,validation/evidence/VT-DATA-010.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-011,ARC-JOURNAL,ARC-JOURNAL,,TASK-0203,VT-DATA-011,validation/evidence/VT-DATA-011.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-011,ARC-JOURNAL,ARC-JOURNAL,,TASK-0806,VT-DATA-011,validation/evidence/VT-DATA-011.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-012,ARC-JOURNAL,ARC-JOURNAL,,TASK-0202,VT-DATA-012,validation/evidence/VT-DATA-012.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-013,ARC-JOURNAL,ARC-JOURNAL,,TASK-0202,VT-DATA-013,validation/evidence/VT-DATA-013.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-014,ARC-JOURNAL,ARC-JOURNAL,,TASK-0202,VT-DATA-014,validation/evidence/VT-DATA-014.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-014,ARC-JOURNAL,ARC-JOURNAL,,TASK-0203,VT-DATA-014,validation/evidence/VT-DATA-014.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-015,ARC-JOURNAL,ARC-JOURNAL,,TASK-0202,VT-DATA-015,validation/evidence/VT-DATA-015.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-016,ARC-JOURNAL,ARC-JOURNAL,,TASK-0204,VT-DATA-016,validation/evidence/VT-DATA-016.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-017,ARC-JOURNAL,ARC-JOURNAL,,TASK-0201,VT-DATA-017,validation/evidence/VT-DATA-017.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-018,ARC-JOURNAL,ARC-JOURNAL,,TASK-0205,VT-DATA-018,validation/evidence/VT-DATA-018.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-018,ARC-JOURNAL,ARC-JOURNAL,,TASK-0207,VT-DATA-018,validation/evidence/VT-DATA-018.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-019,ARC-JOURNAL,ARC-JOURNAL,,TASK-0205,VT-DATA-019,validation/evidence/VT-DATA-019.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-019,ARC-JOURNAL,ARC-JOURNAL,,TASK-0605,VT-DATA-019,validation/evidence/VT-DATA-019.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-020,ARC-JOURNAL,ARC-JOURNAL,,TASK-0605,VT-DATA-020,validation/evidence/VT-DATA-020.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-020,ARC-JOURNAL,ARC-JOURNAL,,TASK-0806,VT-DATA-020,validation/evidence/VT-DATA-020.json
STAKE-004;STAKE-006,GOAL-001;GOAL-003,UC-004;UC-005;UC-008,DATA-021,ARC-JOURNAL,ARC-JOURNAL,,TASK-0801,VT-DATA-021,validation/evidence/VT-DATA-021.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-001,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0201,VT-STATE-001,validation/evidence/VT-STATE-001.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-001,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-001,validation/evidence/VT-STATE-001.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-002,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-002,validation/evidence/VT-STATE-002.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-003,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-003,validation/evidence/VT-STATE-003.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-004,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-004,validation/evidence/VT-STATE-004.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-004,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0309,VT-STATE-004,validation/evidence/VT-STATE-004.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-005,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-005,validation/evidence/VT-STATE-005.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-005,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0504,VT-STATE-005,validation/evidence/VT-STATE-005.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-006,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-006,validation/evidence/VT-STATE-006.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-006,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0508,VT-STATE-006,validation/evidence/VT-STATE-006.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-007,ARC-JOURNAL;ARC-RECOVERY,IF-JOURNAL,ADR-003,TASK-0203,VT-STATE-007,validation/evidence/VT-STATE-007.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-008,ARC-JOURNAL;ARC-RECOVERY,IF-LIFECYCLE,ADR-009,TASK-0203,VT-STATE-008,validation/evidence/VT-STATE-008.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-009,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0203,VT-STATE-009,validation/evidence/VT-STATE-009.json
STAKE-004,GOAL-003,UC-004;UC-005,STATE-009,ARC-JOURNAL;ARC-RECOVERY,ARC-JOURNAL;ARC-RECOVERY,,TASK-0301,VT-STATE-009,validation/evidence/VT-STATE-009.json
